# 7

# Tabular data (Simple structured data)

| position # | Time [UTC] | Time [LMT] | Longitude [deg] | Latitude [deg] | Altitude [m] | Status | Main [V] | Beacon [V] | Temperature [°C] |
|---|---|---|---|---|---|---|---|---|---|
| 1 | 2014-01-01 00:00:44 | 2014-01-01 02:00:44 | 32.24420 | -27.88087 | 119 | val. GPS-3D | 3.36 | 2.08 | 25 |
| 2 | 2014-01-01 01:00:44 | 2014-01-01 03:00:44 | 32.24422 | -27.88077 | 119 | val. GPS-3D | 3.36 | 2 | 24 |
| 3 | 2014-01-01 02:00:44 | 2014-01-01 04:00:44 | 32.24427 | -27.88084 | 113 | val. GPS-3D | 3.36 | 2 | 24 |
| 4 | 2014-01-01 03:00:21 | 2014-01-01 05:00:21 | 32.24487 | -27.88001 | 166 | val. GPS-3D | 3.36 | 1.84 | 23 |
| 5 | 2014-01-01 04:01:27 | 2014-01-01 06:01:27 | 32.23733 | -27.87960 | 121 | GPS-3D | 3.36 | 1.92 | 23 |
| 6 | 2014-01-01 05:00:54 | 2014-01-01 07:00:54 | 32.23727 | -27.87759 | 121 | GPS-2D | 3.36 | 2.24 | 26 |
| 7 | 2014-01-01 06:01:55 | 2014-01-01 08:01:55 | 32.23747 | -27.87759 | 122 | GPS-2D | 3.36 | 2.32 | 26 |
| 8 | 2014-01-01 07:01:20 | 2014-01-01 09:01:20 | 32.23740 | -27.87715 | 124 | GPS-2D | 3.36 | 2.64 | 28 |
| 9 | 2014-01-01 08:01:17 | 2014-01-01 10:01:17 | 32.23752 | -27.87692 | 92 | GPS-3D | 3.36 | 2.72 | 29 |
| 10 | 2014-01-01 09:01:14 | 2014-01-01 11:01:14 | 32.24147 | -27.87377 | 83 | val. GPS-3D | 3.36 | 2.72 | 29 |
| 11 | 2014-01-01 10:01:28 | 2014-01-01 12:01:28 | 32.24537 | -27.87179 | 84 | GPS-2D | 3.36 | 2.4 | 27 |
| 12 | 2014-01-01 11:01:01 | 2014-01-01 13:01:01 | 32.24490 | -27.87202 | 83 | GPS-2D | 3.36 | 2.24 | 26 |
| 13 | 2014-01-01 12:01:36 | 2014-01-01 14:01:36 |  |  |  | No Fix | 3.36 | 2.32 | 26 |
| 14 | 2014-01-01 13:02:34 | 2014-01-01 15:02:34 | 32.24191 | -27.87205 | 80 | val. GPS-3D | 3.36 | 2.64 | 29 |
| 15 | 2014-01-01 14:01:08 | 2014-01-01 16:01:08 | 32.24068 | -27.87272 | 81 | val. GPS-3D | 3.36 | 2.24 | 26 |
| 16 | 2014-01-01 15:01:02 | 2014-01-01 17:01:02 | 32.23830 | -27.87547 | 91 | GPS-3D | 3.36 | 2.64 | 29 |
| 17 | 2014-01-01 16:01:13 | 2014-01-01 18:01:13 | 32.23815 | -27.87829 | 104 | val. GPS-3D | 3.36 | 2.64 | 29 |
| 18 | 2014-01-01 17:00:16 | 2014-01-01 19:00:16 | 32.23720 | -27.87853 | 100 | val. GPS-3D | 3.36 | 2.32 | 26 |
| 19 | 2014-01-01 18:01:38 | 2014-01-01 20:01:38 | 32.23572 | -27.87838 | 115 | val. GPS-3D | 3.36 | 2.16 | 25 |
| 20 | 2014-01-01 19:01:02 | 2014-01-01 21:01:02 | 32.23452 | -27.87658 | 136 | val. GPS-3D | 3.36 | 2 | 24 |
| 21 | 2014-01-01 20:01:58 | 2014-01-01 22:01:58 | 32.23413 | -27.87617 | 133 | val. GPS-3D | 3.36 | 1.92 | 23 |


---

**Description:**

This slide presents a table of tabular data, likely representing GPS data.  The table shows various attributes (position number, time, longitude, latitude, altitude, status, etc.) for different data points.  The data appears to be from a GPS tracking device, as indicated by the "GPS-3D" and "GPS-2D" status values.  The data includes timestamps, coordinates, and other relevant information.  The table is formatted in a standard tabular format, with rows and columns clearly defined.  The data is likely part of a larger dataset, and the table is presented to illustrate the structure of the data.  The context from the previous slides suggests that this is part of a lecture on data science, specifically focusing on the concept of tabular data.
